,AIRPORT,Month,Dom_Pax_In,Dom_Pax_Out,Dom_Pax_Total,Int_Pax_In,Int_Pax_Out,Int_Pax_Total,Pax_In,Pax_Out,Pax_Total,latitude,longitude,State
75,GOLD COAST,April,243096,248009,491105,30213,26508,56721,273309,274517,547826,-28.16,153.51,Queensland
76,GOLD COAST,May,208372,208655,417027,22701,21933,44634,231073,230588,461661,-28.16,153.51,Queensland
77,GOLD COAST,June,209732,207786,417518,24777,25347,50124,234509,233133,467642,-28.16,153.51,Queensland
78,GOLD COAST,July,245886,241774,487660,31207,28850,60057,277093,270624,547717,-28.16,153.51,Queensland
79,GOLD COAST,August,215306,216752,432058,26083,25433,51516,241389,242185,483574,-28.16,153.51,Queensland
80,GOLD COAST,September,232618,222871,455489,28290,27285,55575,260908,250156,511064,-28.16,153.51,Queensland
81,GOLD COAST,October,241841,250122,491963,27448,27488,54936,269289,277610,546899,-28.16,153.51,Queensland
82,GOLD COAST,November,217514,218938,436452,20316,21375,41691,237830,240313,478143,-28.16,153.51,Queensland
83,GOLD COAST,December,260449,248197,508646,27212,30357,57569,287661,278554,566215,-28.16,153.51,Queensland
84,TOWNSVILLE,January,59516,55811,115327,0,0,0,59516,55811,115327,-19.25,146.77,Queensland
85,HAMILTON ISLAND,February,17969,17826,35795,0,0,0,17969,17826,35795,-20.35,148.95,Queensland
86,HAMILTON ISLAND,March,20464,18447,38911,0,0,0,20464,18447,38911,-20.35,148.95,Queensland
87,HAMILTON ISLAND,April,18993,20979,39972,0,0,0,18993,20979,39972,-20.35,148.95,Queensland
88,HAMILTON ISLAND,May,16164,16613,32777,0,0,0,16164,16613,32777,-20.35,148.95,Queensland
89,HAMILTON ISLAND,June,17731,16366,34097,0,0,0,17731,16366,34097,-20.35,148.95,Queensland
90,HAMILTON ISLAND,July,20962,22282,43244,0,0,0,20962,22282,43244,-20.35,148.95,Queensland
91,HAMILTON ISLAND,August,19738,19631,39369,0,0,0,19738,19631,39369,-20.35,148.95,Queensland
92,HAMILTON ISLAND,September,23413,22263,45676,0,0,0,23413,22263,45676,-20.35,148.95,Queensland
